Contract Symbol     FTD                 LTD                 FND                 LND                 FDD                 LDD                 FSD                 None                None                
Feb17               6/17/2013           12/29/2016          12/29/2016          12/29/2016          None                None                12/30/2016          6/17/2013           12/22/2016          
Mar17               6/17/2013           1/31/2017           1/31/2017           1/31/2017           None                None                2/1/2017            6/17/2013           1/26/2017           
Apr17               6/17/2013           2/28/2017           2/28/2017           2/28/2017           None                None                3/1/2017            6/17/2013           2/23/2017           
May17               6/17/2013           3/31/2017           3/31/2017           3/31/2017           None                None                4/3/2017            6/17/2013           3/28/2017           
Jun17               11/14/2008          4/28/2017           4/28/2017           4/28/2017           None                None                5/1/2017            6/17/2013           4/25/2017           
Jul17               6/17/2013           5/31/2017           5/31/2017           5/31/2017           None                None                6/1/2017            6/17/2013           5/25/2017           
Aug17               6/17/2013           6/30/2017           6/30/2017           6/30/2017           None                None                7/3/2017            6/17/2013           6/27/2017           
Sep17               6/17/2013           7/31/2017           7/31/2017           7/31/2017           None                None                8/1/2017            6/17/2013           7/26/2017           
Oct17               6/17/2013           8/31/2017           8/31/2017           8/31/2017           None                None                9/1/2017            6/17/2013           8/25/2017           
Nov17               6/17/2013           9/29/2017           9/29/2017           9/29/2017           None                None                10/2/2017           6/17/2013           9/26/2017           
Dec17               11/14/2008          10/31/2017          10/31/2017          10/31/2017          None                None                11/1/2017           6/17/2013           10/26/2017          
Jan18               6/17/2013           11/30/2017          11/30/2017          11/30/2017          None                None                12/1/2017           6/17/2013           11/27/2017          
Feb18               6/17/2013           12/28/2017          12/28/2017          12/28/2017          None                None                12/29/2017          6/17/2013           12/21/2017          
Mar18               6/17/2013           1/31/2018           1/31/2018           1/31/2018           None                None                2/1/2018            6/17/2013           1/26/2018           
Apr18               6/17/2013           2/28/2018           2/28/2018           2/28/2018           None                None                3/1/2018            6/17/2013           2/23/2018           
May18               6/17/2013           3/29/2018           3/29/2018           3/29/2018           None                None                4/2/2018            6/17/2013           3/26/2018           
Jun18               11/16/2009          4/30/2018           4/30/2018           4/30/2018           None                None                5/1/2018            6/17/2013           4/25/2018           
Jul18               6/17/2013           5/31/2018           5/31/2018           5/31/2018           None                None                6/1/2018            6/17/2013           5/25/2018           
Aug18               6/17/2013           6/29/2018           6/29/2018           6/29/2018           None                None                7/2/2018            6/17/2013           6/26/2018           
Sep18               6/17/2013           7/31/2018           7/31/2018           7/31/2018           None                None                8/1/2018            6/17/2013           7/26/2018           
Oct18               6/17/2013           8/31/2018           8/31/2018           8/31/2018           None                None                9/3/2018            6/17/2013           8/28/2018           
Nov18               6/17/2013           9/28/2018           9/28/2018           9/28/2018           None                None                10/1/2018           6/17/2013           9/25/2018           
Dec18               11/16/2009          10/31/2018          10/31/2018          10/31/2018          None                None                11/1/2018           6/17/2013           10/26/2018          
Jan19               6/17/2013           11/30/2018          11/30/2018          11/30/2018          None                None                12/3/2018           6/17/2013           11/27/2018          
Feb19               6/17/2013           12/28/2018          12/28/2018          12/28/2018          None                None                12/31/2018          6/17/2013           12/21/2018          
Mar19               6/17/2013           1/31/2019           1/31/2019           1/31/2019           None                None                2/1/2019            6/17/2013           1/28/2019           
Apr19               6/17/2013           2/28/2019           2/28/2019           2/28/2019           None                None                3/1/2019            6/17/2013           2/25/2019           
May19               6/17/2013           3/29/2019           3/29/2019           3/29/2019           None                None                4/1/2019            6/17/2013           3/26/2019           
Jun19               11/16/2010          4/30/2019           4/30/2019           4/30/2019           None                None                5/1/2019            6/17/2013           4/25/2019           
Jul19               6/17/2013           5/31/2019           5/31/2019           5/31/2019           None                None                6/3/2019            6/17/2013           5/28/2019           
Aug19               6/17/2013           6/28/2019           6/28/2019           6/28/2019           None                None                7/1/2019            6/17/2013           6/25/2019           
Sep19               6/17/2013           7/31/2019           7/31/2019           7/31/2019           None                None                8/1/2019            6/17/2013           7/26/2019           
Oct19               6/17/2013           8/30/2019           8/30/2019           8/30/2019           None                None                9/2/2019            6/17/2013           8/27/2019           
Nov19               6/17/2013           9/30/2019           9/30/2019           9/30/2019           None                None                10/1/2019           6/17/2013           9/25/2019           
Dec19               11/16/2010          10/31/2019          10/31/2019          10/31/2019          None                None                11/1/2019           6/17/2013           10/28/2019          
Jan20               6/17/2013           11/29/2019          11/29/2019          11/29/2019          None                None                12/2/2019           6/17/2013           11/26/2019          
Feb20               6/17/2013           12/30/2019          12/30/2019          12/30/2019          None                None                12/31/2019          6/17/2013           12/23/2019          
Mar20               12/9/2013           1/31/2020           1/31/2020           1/31/2020           None                None                2/3/2020            12/9/2013           1/28/2020           
Apr20               5/30/2014           2/28/2020           2/28/2020           2/28/2020           None                None                3/2/2020            5/30/2014           2/25/2020           
